"Origin","Recipient","Average no samples per year","Region_origin","Region_recipient"
"China","Norway",0.266666666666667,"East Asia","NW Europe"
"China","Pakistan",0.133333333333333,"East Asia","West Asia"
"China","Poland",1.73333333333333,"East Asia","NE Europe"
"China","Russian Federation",0.133333333333333,"East Asia","NE Europe"
"China","Turkey",0.266666666666667,"East Asia","West Asia"
"China","United Kingdom",0.266666666666667,"East Asia","NW Europe"
"China, Taiwan Province of","Canada",2.4,"East Asia","North America"
"China, Taiwan Province of","France",0.266666666666667,"East Asia","NW Europe"
"China, Taiwan Province of","Germany",0.266666666666667,"East Asia","NW Europe"
"Colombia","Canada",18.5333333333333,"Andes","North America"
"Colombia","China, Taiwan Province of",0.266666666666667,"Andes","East Asia"
"Congo","Canada",0.266666666666667,"Central Africa","North America"
"Congo","Zambia",0.266666666666667,"Central Africa","Southern Africa"
"Costa Rica","Chile",0.133333333333333,"Central America","Andes"
"Costa Rica","Egypt",0.266666666666667,"Central America","SE Mediterranean"
"Costa Rica","United States of America",0.133333333333333,"Central America","North America"
"Côte d'Ivoire","China, Taiwan Province of",1.33333333333333,"West Africa","East Asia"
"Croatia","Canada",0.666666666666667,"SE Europe","North America"
"Cuba","Canada",0.133333333333333,"Caribbean","North America"
"Cyprus","Canada",2.93333333333333,"SE Mediterranean","North America"
"Cyprus","Chile",0.533333333333333,"SE Mediterranean","Andes"
"Cyprus","China, Taiwan Province of",0.133333333333333,"SE Mediterranean","East Asia"
"Cyprus","Iran (Islamic Republic of)",0.133333333333333,"SE Mediterranean","West Asia"
"Cyprus","Israel",0.133333333333333,"SE Mediterranean","West Asia"
"Cyprus","Poland",0.666666666666667,"SE Mediterranean","NE Europe"
"Cyprus","Ukraine",0.133333333333333,"SE Mediterranean","NE Europe"
"Cyprus","United Kingdom",0.133333333333333,"SE Mediterranean","NW Europe"
"Czech Republic","Australia",0.133333333333333,"NE Europe","Australia New Zealand"
"Czech Republic","Belgium",0.133333333333333,"NE Europe","NW Europe"
"Czech Republic","Canada",12,"NE Europe","North America"
"Czech Republic","Chile",0.133333333333333,"NE Europe","Andes"
"Czech Republic","China",1.2,"NE Europe","East Asia"
"Czech Republic","France",0.133333333333333,"NE Europe","NW Europe"
"Czech Republic","Germany",0.4,"NE Europe","NW Europe"
"Czech Republic","Italy",0.266666666666667,"NE Europe","SW Europe"
"Czech Republic","Netherlands",0.533333333333333,"NE Europe","NW Europe"
"Czech Republic","Norway",0.266666666666667,"NE Europe","NW Europe"
"Czech Republic","Republic of Korea",0.533333333333333,"NE Europe","East Asia"
"Czech Republic","Turkey",0.266666666666667,"NE Europe","West Asia"
"Czech Republic","United Kingdom",0.8,"NE Europe","NW Europe"
"Czech Republic","United States of America",0.666666666666667,"NE Europe","North America"
"Democratic People's Republic of Korea","Canada",1.2,"East Asia","North America"
"Democratic People's Republic of Korea","Chile",0.133333333333333,"East Asia","Andes"
"Denmark","Australia",0.133333333333333,"NW Europe","Australia New Zealand"
"Denmark","Canada",10.8,"NW Europe","North America"
"Denmark","China",0.666666666666667,"NW Europe","East Asia"
"Denmark","France",0.133333333333333,"NW Europe","NW Europe"
"Denmark","Germany",0.266666666666667,"NW Europe","NW Europe"
"Denmark","Iceland",0.133333333333333,"NW Europe","NW Europe"
"Denmark","Italy",0.666666666666667,"NW Europe","SW Europe"
"Denmark","Japan",0.133333333333333,"NW Europe","East Asia"
"Ecuador","Canada",0.8,"Andes","North America"
"Ecuador","Jordan",0.133333333333333,"Andes","West Asia"
"Egypt","Canada",13.3333333333333,"SE Mediterranean","North America"
"Egypt","China",0.133333333333333,"SE Mediterranean","East Asia"
"Egypt","Czech Republic",0.133333333333333,"SE Mediterranean","NE Europe"
"Egypt","Germany",0.133333333333333,"SE Mediterranean","NW Europe"
"Egypt","Iran (Islamic Republic of)",0.133333333333333,"SE Mediterranean","West Asia"
"Egypt","Italy",0.133333333333333,"SE Mediterranean","SW Europe"
"Egypt","Jordan",0.533333333333333,"SE Mediterranean","West Asia"
"Egypt","Pakistan",0.266666666666667,"SE Mediterranean","West Asia"
"Egypt","Poland",0.533333333333333,"SE Mediterranean","NE Europe"
"Egypt","United Kingdom",0.133333333333333,"SE Mediterranean","NW Europe"
"Egypt","United States of America",0.266666666666667,"SE Mediterranean","North America"
"Eritrea","Canada",0.133333333333333,"East Africa","North America"
"Eritrea","Chile",0.133333333333333,"East Africa","Andes"
"Estonia","Bulgaria",0.133333333333333,"NE Europe","SE Europe"
"Estonia","Canada",1.6,"NE Europe","North America"
"Estonia","France",0.4,"NE Europe","NW Europe"
"Estonia","Germany",0.4,"NE Europe","NW Europe"
"Estonia","Japan",0.133333333333333,"NE Europe","East Asia"
"Estonia","Netherlands",0.133333333333333,"NE Europe","NW Europe"
"Estonia","Republic of Korea",0.133333333333333,"NE Europe","East Asia"
"Ethiopia","Belarus",0.266666666666667,"East Africa","NE Europe"
"Ethiopia","Bulgaria",0.533333333333333,"East Africa","SE Europe"
"Ethiopia","Canada",147.2,"East Africa","North America"
"Ethiopia","China",1.86666666666667,"East Africa","East Asia"
"Ethiopia","Germany",0.133333333333333,"East Africa","NW Europe"
"Ethiopia","India",8.93333333333333,"East Africa","South Asia"
"Ethiopia","Iran (Islamic Republic of)",0.266666666666667,"East Africa","West Asia"
"Ethiopia","Israel",0.133333333333333,"East Africa","West Asia"
"Ethiopia","Norway",0.133333333333333,"East Africa","NW Europe"
"Ethiopia","Poland",3.86666666666667,"East Africa","NE Europe"
"Ethiopia","Republic of Korea",0.133333333333333,"East Africa","East Asia"
"Ethiopia","Turkey",0.8,"East Africa","West Asia"
"Ethiopia","Ukraine",0.933333333333333,"East Africa","NE Europe"
"Ethiopia","United Kingdom",0.533333333333333,"East Africa","NW Europe"
"Ethiopia","United States of America",1.73333333333333,"East Africa","North America"
"Europe_Eastern_south","Australia",0.266666666666667,"SE Europe","Australia New Zealand"
"Europe_Eastern_south","Canada",3.73333333333333,"SE Europe","North America"
"Europe_Eastern_south","Chile",0.133333333333333,"SE Europe","Andes"
"Europe_Eastern_south","China",0.4,"SE Europe","East Asia"
"Europe_Eastern_south","France",0.666666666666667,"SE Europe","NW Europe"
"Europe_Eastern_south","Germany",0.8,"SE Europe","NW Europe"
"Europe_Eastern_south","Iran (Islamic Republic of)",0.133333333333333,"SE Europe","West Asia"
"Europe_Eastern_south","Poland",0.8,"SE Europe","NE Europe"
"Europe_Eastern_south","United Kingdom",0.533333333333333,"SE Europe","NW Europe"
"Europe_Eastern_south","United States of America",0.933333333333333,"SE Europe","North America"
"Finland","Bulgaria",0.266666666666667,"NW Europe","SE Europe"
"Finland","Canada",6.13333333333333,"NW Europe","North America"
"Finland","Chile",0.4,"NW Europe","Andes"
"Finland","China",0.266666666666667,"NW Europe","East Asia"
"Finland","Germany",0.133333333333333,"NW Europe","NW Europe"
"Finland","India",0.4,"NW Europe","South Asia"
"Finland","Japan",0.133333333333333,"NW Europe","East Asia"
"Finland","New Zealand",0.133333333333333,"NW Europe","Australia New Zealand"
"Finland","Sweden",0.4,"NW Europe","NW Europe"
"Finland","United States of America",1.2,"NW Europe","North America"
"France","Argentina",0.133333333333333,"NW Europe","Temp. S. America"
"France","Bulgaria",0.933333333333333,"NW Europe","SE Europe"
"France","Canada",34.2666666666667,"NW Europe","North America"
"France","Chile",0.8,"NW Europe","Andes"
"France","China",4.13333333333333,"NW Europe","East Asia"
"France","Egypt",0.666666666666667,"NW Europe","SE Mediterranean"
"France","France",2.26666666666667,"NW Europe","NW Europe"
"France","Germany",3.06666666666667,"NW Europe","NW Europe"
"France","Iran (Islamic Republic of)",0.133333333333333,"NW Europe","West Asia"
"France","Japan",0.666666666666667,"NW Europe","East Asia"
"France","Norway",0.666666666666667,"NW Europe","NW Europe"
"France","Pakistan",0.533333333333333,"NW Europe","West Asia"
"France","Poland",0.933333333333333,"NW Europe","NE Europe"
"France","Russian Federation",0.266666666666667,"NW Europe","NE Europe"
"France","Switzerland",0.666666666666667,"NW Europe","NW Europe"
"France","Tunisia",0.133333333333333,"NW Europe","SE Mediterranean"
"France","Turkey",0.266666666666667,"NW Europe","West Asia"
"France","United Kingdom",0.8,"NW Europe","NW Europe"
"France","United States of America",0.266666666666667,"NW Europe","North America"
"Georgia","Austria",0.133333333333333,"Central Asia","NW Europe"
"Georgia","Bulgaria",0.266666666666667,"Central Asia","SE Europe"
"Georgia","Canada",7.46666666666667,"Central Asia","North America"
"Georgia","China",0.133333333333333,"Central Asia","East Asia"
"Georgia","Egypt",0.133333333333333,"Central Asia","SE Mediterranean"
"Georgia","Germany",0.266666666666667,"Central Asia","NW Europe"
"Georgia","Poland",0.4,"Central Asia","NE Europe"
"Georgia","United Kingdom",1.06666666666667,"Central Asia","NW Europe"
"Georgia","United States of America",0.666666666666667,"Central Asia","North America"
"Germany","Argentina",0.133333333333333,"NW Europe","Temp. S. America"
"Germany","Australia",0.8,"NW Europe","Australia New Zealand"
"Germany","Bulgaria",0.933333333333333,"NW Europe","SE Europe"
"Germany","Canada",117.6,"NW Europe","North America"
"Germany","Chile",1.33333333333333,"NW Europe","Andes"
"Germany","China",5.6,"NW Europe","East Asia"
"Germany","China, Taiwan Province of",0.4,"NW Europe","East Asia"
"Germany","Croatia",0.133333333333333,"NW Europe","SE Europe"
"Germany","Czech Republic",0.133333333333333,"NW Europe","NE Europe"
"Germany","Denmark",0.133333333333333,"NW Europe","NW Europe"
"Germany","Egypt",0.133333333333333,"NW Europe","SE Mediterranean"
"Germany","Estonia",0.133333333333333,"NW Europe","NE Europe"
"Germany","Finland",0.133333333333333,"NW Europe","NW Europe"
"Germany","France",2.26666666666667,"NW Europe","NW Europe"
"Germany","Germany",3.46666666666667,"NW Europe","NW Europe"
"Germany","Iceland",0.266666666666667,"NW Europe","NW Europe"
"Germany","India",0.8,"NW Europe","South Asia"
"Germany","Iran (Islamic Republic of)",0.133333333333333,"NW Europe","West Asia"
"Germany","Italy",2.26666666666667,"NW Europe","SW Europe"
"Germany","Japan",0.666666666666667,"NW Europe","East Asia"
"Germany","Mongolia",0.133333333333333,"NW Europe","East Asia"
"Germany","Netherlands",0.133333333333333,"NW Europe","NW Europe"
"Germany","Norway",0.133333333333333,"NW Europe","NW Europe"
"Germany","Pakistan",0.933333333333333,"NW Europe","West Asia"
"Germany","Poland",0.8,"NW Europe","NE Europe"
"Germany","Republic of Korea",0.133333333333333,"NW Europe","East Asia"
"Germany","Turkey",0.666666666666667,"NW Europe","West Asia"
"Germany","Ukraine",0.133333333333333,"NW Europe","NE Europe"
"Germany","United Kingdom",0.666666666666667,"NW Europe","NW Europe"
"Germany","United States of America",1.06666666666667,"NW Europe","North America"
"Ghana","Canada",0.133333333333333,"West Africa","North America"
"Ghana","China, Taiwan Province of",0.4,"West Africa","East Asia"
"Gibraltar","Poland",1.2,"SW Europe","NE Europe"
"Greece","Canada",14.1333333333333,"SE Europe","North America"
"Greece","Chile",0.4,"SE Europe","Andes"
"Greece","China",0.933333333333333,"SE Europe","East Asia"
"Greece","Germany",0.133333333333333,"SE Europe","NW Europe"
"Greece","India",0.133333333333333,"SE Europe","South Asia"
"Greece","Iran (Islamic Republic of)",0.133333333333333,"SE Europe","West Asia"
"Greece","Pakistan",0.133333333333333,"SE Europe","West Asia"
"Greece","Poland",2.66666666666667,"SE Europe","NE Europe"
"Greece","Russian Federation",0.133333333333333,"SE Europe","NE Europe"
"Greece","United Kingdom",1.2,"SE Europe","NW Europe"
"Greece","United States of America",0.4,"SE Europe","North America"
"Guatemala","Canada",0.533333333333333,"Central America","North America"
"Guinea","China, Taiwan Province of",0.666666666666667,"West Africa","East Asia"
"Hungary","Bulgaria",0.133333333333333,"NE Europe","SE Europe"
"Hungary","Canada",12.8,"NE Europe","North America"
"Hungary","Chile",0.266666666666667,"NE Europe","Andes"
"Hungary","China",1.06666666666667,"NE Europe","East Asia"
"Hungary","Egypt",0.4,"NE Europe","SE Mediterranean"
"Hungary","France",0.4,"NE Europe","NW Europe"
"Hungary","Germany",0.933333333333333,"NE Europe","NW Europe"
"Hungary","India",0.133333333333333,"NE Europe","South Asia"
"Hungary","Iran (Islamic Republic of)",0.133333333333333,"NE Europe","West Asia"
"Hungary","Norway",0.133333333333333,"NE Europe","NW Europe"
"Hungary","United Kingdom",0.8,"NE Europe","NW Europe"
"India","Argentina",0.133333333333333,"South Asia","Temp. S. America"
"India","Canada",72.5333333333333,"South Asia","North America"
"India","Chile",0.533333333333333,"South Asia","Andes"
"India","China",2.13333333333333,"South Asia","East Asia"
"India","Egypt",0.133333333333333,"South Asia","SE Mediterranean"
"India","France",0.8,"South Asia","NW Europe"
"India","India",1.73333333333333,"South Asia","South Asia"
"India","Iran (Islamic Republic of)",0.133333333333333,"South Asia","West Asia"
"India","Japan",0.133333333333333,"South Asia","East Asia"
"India","Netherlands",0.133333333333333,"South Asia","NW Europe"
"India","Norway",0.266666666666667,"South Asia","NW Europe"
"India","Pakistan",0.666666666666667,"South Asia","West Asia"
"India","Poland",0.666666666666667,"South Asia","NE Europe"
