"Origin","Recipient","Total number of samples","Average no samples per year","Region_origin","Region_recipient"
"United States of America","Iceland",2,0.266666666666667,"United States","NW Europe"
"United States of America","India",17,2.26666666666667,"United States","South Asia"
"United States of America","Iran (Islamic Republic of)",3,0.4,"United States","West Asia"
"United States of America","Italy",3,0.4,"United States","SW Europe"
"United States of America","Jordan",2,0.266666666666667,"United States","West Asia"
"United States of America","Morocco",5,0.666666666666667,"United States","SE Mediterranean"
"United States of America","New Zealand",1,0.133333333333333,"United States","Australia New Zealand"
"United States of America","Norway",19,2.53333333333333,"United States","NW Europe"
"United States of America","Pakistan",8,1.06666666666667,"United States","West Asia"
"United States of America","Poland",11,1.46666666666667,"United States","NE Europe"
"United States of America","Republic of Korea",1,0.133333333333333,"United States","East Asia"
"United States of America","Russian Federation",1,0.133333333333333,"United States","NE Europe"
"United States of America","Sudan (former)",1,0.133333333333333,"United States","East Africa"
"United States of America","Turkey",6,0.8,"United States","West Asia"
"United States of America","Ukraine",1,0.133333333333333,"United States","NE Europe"
"United States of America","United Kingdom",9,1.2,"United States","NW Europe"
"United States of America","United States of America",32,4.26666666666667,"United States","United States"
"United States of America","Zambia",1,0.133333333333333,"United States","Southern Africa"
"Uruguay","Argentina",4,0.533333333333333,"Temp. S. America","Temp. S. America"
"Uruguay","Belarus",1,0.133333333333333,"Temp. S. America","NE Europe"
"Uruguay","Canada",45,6,"Temp. S. America","Canada"
"Uruguay","China",3,0.4,"Temp. S. America","East Asia"
"Uruguay","Germany",3,0.4,"Temp. S. America","NW Europe"
"Uruguay","Poland",2,0.266666666666667,"Temp. S. America","NE Europe"
"Uruguay","Switzerland",1,0.133333333333333,"Temp. S. America","NW Europe"
"Uruguay","Ukraine",1,0.133333333333333,"Temp. S. America","NE Europe"
"Uzbekistan","Canada",9,1.2,"Central Asia","Canada"
"Uzbekistan","China",3,0.4,"Central Asia","East Asia"
"Uzbekistan","Egypt",2,0.266666666666667,"Central Asia","SE Mediterranean"
"Uzbekistan","Germany",3,0.4,"Central Asia","NW Europe"
"Uzbekistan","Iran (Islamic Republic of)",1,0.133333333333333,"Central Asia","West Asia"
"Uzbekistan","United States of America",4,0.533333333333333,"Central Asia","United States"
"Venezuela (Bolivarian Republic of)","Chile",1,0.133333333333333,"Trop. S. America","Andes"
"Yemen","Canada",4,0.533333333333333,"West Asia","Canada"
"Yemen","India",18,2.4,"West Asia","South Asia"
"Yemen","Pakistan",1,0.133333333333333,"West Asia","West Asia"
"Yemen","Poland",1,0.133333333333333,"West Asia","NE Europe"
"Zambia","India",72,9.6,"Southern Africa","South Asia"
"Zimbabwe","Canada",4,0.533333333333333,"Southern Africa","Canada"
"Zimbabwe","Chile",1,0.133333333333333,"Southern Africa","Andes"
"Zimbabwe","Poland",1,0.133333333333333,"Southern Africa","NE Europe"
"Zimbabwe","Zambia",1,0.133333333333333,"Southern Africa","Southern Africa"
