"Origin","Recipient","Total number of samples","Average no samples per year","Region_origin","Region_recipient"
"Denmark","China",5,0.666666666666667,"NW Europe","East Asia"
"Denmark","France",1,0.133333333333333,"NW Europe","NW Europe"
"Denmark","Germany",2,0.266666666666667,"NW Europe","NW Europe"
"Denmark","Iceland",1,0.133333333333333,"NW Europe","NW Europe"
"Denmark","Italy",5,0.666666666666667,"NW Europe","SW Europe"
"Denmark","Japan",1,0.133333333333333,"NW Europe","East Asia"
"Ecuador","Canada",6,0.8,"Andes","Canada"
"Ecuador","Jordan",1,0.133333333333333,"Andes","West Asia"
"Egypt","Canada",100,13.3333333333333,"SE Mediterranean","Canada"
"Egypt","China",1,0.133333333333333,"SE Mediterranean","East Asia"
"Egypt","Czech Republic",1,0.133333333333333,"SE Mediterranean","NE Europe"
"Egypt","Germany",1,0.133333333333333,"SE Mediterranean","NW Europe"
"Egypt","Iran (Islamic Republic of)",1,0.133333333333333,"SE Mediterranean","West Asia"
"Egypt","Italy",1,0.133333333333333,"SE Mediterranean","SW Europe"
"Egypt","Jordan",4,0.533333333333333,"SE Mediterranean","West Asia"
"Egypt","Pakistan",2,0.266666666666667,"SE Mediterranean","West Asia"
"Egypt","Poland",4,0.533333333333333,"SE Mediterranean","NE Europe"
"Egypt","United Kingdom",1,0.133333333333333,"SE Mediterranean","NW Europe"
"Egypt","United States of America",2,0.266666666666667,"SE Mediterranean","United States"
"Eritrea","Canada",1,0.133333333333333,"East Africa","Canada"
"Eritrea","Chile",1,0.133333333333333,"East Africa","Andes"
"Estonia","Bulgaria",1,0.133333333333333,"NE Europe","SE Europe"
"Estonia","Canada",12,1.6,"NE Europe","Canada"
"Estonia","France",3,0.4,"NE Europe","NW Europe"
"Estonia","Germany",3,0.4,"NE Europe","NW Europe"
"Estonia","Japan",1,0.133333333333333,"NE Europe","East Asia"
"Estonia","Netherlands",1,0.133333333333333,"NE Europe","NW Europe"
"Estonia","Republic of Korea",1,0.133333333333333,"NE Europe","East Asia"
"Ethiopia","Belarus",2,0.266666666666667,"East Africa","NE Europe"
"Ethiopia","Bulgaria",4,0.533333333333333,"East Africa","SE Europe"
"Ethiopia","Canada",1104,147.2,"East Africa","Canada"
"Ethiopia","China",14,1.86666666666667,"East Africa","East Asia"
"Ethiopia","Germany",1,0.133333333333333,"East Africa","NW Europe"
"Ethiopia","India",67,8.93333333333333,"East Africa","South Asia"
"Ethiopia","Iran (Islamic Republic of)",2,0.266666666666667,"East Africa","West Asia"
"Ethiopia","Israel",1,0.133333333333333,"East Africa","West Asia"
"Ethiopia","Norway",1,0.133333333333333,"East Africa","NW Europe"
"Ethiopia","Poland",29,3.86666666666667,"East Africa","NE Europe"
"Ethiopia","Republic of Korea",1,0.133333333333333,"East Africa","East Asia"
"Ethiopia","Turkey",6,0.8,"East Africa","West Asia"
"Ethiopia","Ukraine",7,0.933333333333333,"East Africa","NE Europe"
"Ethiopia","United Kingdom",4,0.533333333333333,"East Africa","NW Europe"
"Ethiopia","United States of America",13,1.73333333333333,"East Africa","United States"
"Europe_Eastern_south","Australia",2,0.266666666666667,"SE Europe","Australia New Zealand"
"Europe_Eastern_south","Canada",28,3.73333333333333,"SE Europe","Canada"
"Europe_Eastern_south","Chile",1,0.133333333333333,"SE Europe","Andes"
"Europe_Eastern_south","China",3,0.4,"SE Europe","East Asia"
"Europe_Eastern_south","France",5,0.666666666666667,"SE Europe","NW Europe"
"Europe_Eastern_south","Germany",6,0.8,"SE Europe","NW Europe"
"Europe_Eastern_south","Iran (Islamic Republic of)",1,0.133333333333333,"SE Europe","West Asia"
"Europe_Eastern_south","Poland",6,0.8,"SE Europe","NE Europe"
"Europe_Eastern_south","United Kingdom",4,0.533333333333333,"SE Europe","NW Europe"
"Europe_Eastern_south","United States of America",7,0.933333333333333,"SE Europe","United States"
"Finland","Bulgaria",2,0.266666666666667,"NW Europe","SE Europe"
"Finland","Canada",46,6.13333333333333,"NW Europe","Canada"
"Finland","Chile",3,0.4,"NW Europe","Andes"
"Finland","China",2,0.266666666666667,"NW Europe","East Asia"
"Finland","Germany",1,0.133333333333333,"NW Europe","NW Europe"
"Finland","India",3,0.4,"NW Europe","South Asia"
"Finland","Japan",1,0.133333333333333,"NW Europe","East Asia"
"Finland","New Zealand",1,0.133333333333333,"NW Europe","Australia New Zealand"
"Finland","Sweden",3,0.4,"NW Europe","NW Europe"
"Finland","United States of America",9,1.2,"NW Europe","United States"
"France","Argentina",1,0.133333333333333,"NW Europe","Temp. S. America"
"France","Bulgaria",7,0.933333333333333,"NW Europe","SE Europe"
"France","Canada",257,34.2666666666667,"NW Europe","Canada"
"France","Chile",6,0.8,"NW Europe","Andes"
"France","China",31,4.13333333333333,"NW Europe","East Asia"
"France","Egypt",5,0.666666666666667,"NW Europe","SE Mediterranean"
"France","France",17,2.26666666666667,"NW Europe","NW Europe"
"France","Germany",23,3.06666666666667,"NW Europe","NW Europe"
"France","Iran (Islamic Republic of)",1,0.133333333333333,"NW Europe","West Asia"
"France","Japan",5,0.666666666666667,"NW Europe","East Asia"
"France","Norway",5,0.666666666666667,"NW Europe","NW Europe"
"France","Pakistan",4,0.533333333333333,"NW Europe","West Asia"
"France","Poland",7,0.933333333333333,"NW Europe","NE Europe"
"France","Russian Federation",2,0.266666666666667,"NW Europe","NE Europe"
"France","Switzerland",5,0.666666666666667,"NW Europe","NW Europe"
"France","Tunisia",1,0.133333333333333,"NW Europe","SE Mediterranean"
"France","Turkey",2,0.266666666666667,"NW Europe","West Asia"
"France","United Kingdom",6,0.8,"NW Europe","NW Europe"
"France","United States of America",2,0.266666666666667,"NW Europe","United States"
"Georgia","Austria",1,0.133333333333333,"Central Asia","NW Europe"
"Georgia","Bulgaria",2,0.266666666666667,"Central Asia","SE Europe"
"Georgia","Canada",56,7.46666666666667,"Central Asia","Canada"
"Georgia","China",1,0.133333333333333,"Central Asia","East Asia"
"Georgia","Egypt",1,0.133333333333333,"Central Asia","SE Mediterranean"
"Georgia","Germany",2,0.266666666666667,"Central Asia","NW Europe"
"Georgia","Poland",3,0.4,"Central Asia","NE Europe"
"Georgia","United Kingdom",8,1.06666666666667,"Central Asia","NW Europe"
"Georgia","United States of America",5,0.666666666666667,"Central Asia","United States"
"Germany","Argentina",1,0.133333333333333,"NW Europe","Temp. S. America"
"Germany","Australia",6,0.8,"NW Europe","Australia New Zealand"
"Germany","Bulgaria",7,0.933333333333333,"NW Europe","SE Europe"
"Germany","Canada",882,117.6,"NW Europe","Canada"
"Germany","Chile",10,1.33333333333333,"NW Europe","Andes"
"Germany","China",42,5.6,"NW Europe","East Asia"
"Germany","China, Taiwan Province of",3,0.4,"NW Europe","East Asia"
"Germany","Croatia",1,0.133333333333333,"NW Europe","SE Europe"
"Germany","Czech Republic",1,0.133333333333333,"NW Europe","NE Europe"
"Germany","Denmark",1,0.133333333333333,"NW Europe","NW Europe"
"Germany","Egypt",1,0.133333333333333,"NW Europe","SE Mediterranean"
"Germany","Estonia",1,0.133333333333333,"NW Europe","NE Europe"
"Germany","Finland",1,0.133333333333333,"NW Europe","NW Europe"
"Germany","France",17,2.26666666666667,"NW Europe","NW Europe"
"Germany","Germany",26,3.46666666666667,"NW Europe","NW Europe"
"Germany","Iceland",2,0.266666666666667,"NW Europe","NW Europe"
"Germany","India",6,0.8,"NW Europe","South Asia"
"Germany","Iran (Islamic Republic of)",1,0.133333333333333,"NW Europe","West Asia"
"Germany","Italy",17,2.26666666666667,"NW Europe","SW Europe"
"Germany","Japan",5,0.666666666666667,"NW Europe","East Asia"
"Germany","Mongolia",1,0.133333333333333,"NW Europe","East Asia"
"Germany","Netherlands",1,0.133333333333333,"NW Europe","NW Europe"
"Germany","Norway",1,0.133333333333333,"NW Europe","NW Europe"
"Germany","Pakistan",7,0.933333333333333,"NW Europe","West Asia"
"Germany","Poland",6,0.8,"NW Europe","NE Europe"
"Germany","Republic of Korea",1,0.133333333333333,"NW Europe","East Asia"
"Germany","Turkey",5,0.666666666666667,"NW Europe","West Asia"
"Germany","Ukraine",1,0.133333333333333,"NW Europe","NE Europe"
"Germany","United Kingdom",5,0.666666666666667,"NW Europe","NW Europe"
"Germany","United States of America",8,1.06666666666667,"NW Europe","United States"
"Ghana","Canada",1,0.133333333333333,"West Africa","Canada"
"Ghana","China, Taiwan Province of",3,0.4,"West Africa","East Asia"
"Gibraltar","Poland",9,1.2,"SW Europe","NE Europe"
"Greece","Canada",106,14.1333333333333,"SE Europe","Canada"
"Greece","Chile",3,0.4,"SE Europe","Andes"
"Greece","China",7,0.933333333333333,"SE Europe","East Asia"
"Greece","Germany",1,0.133333333333333,"SE Europe","NW Europe"
"Greece","India",1,0.133333333333333,"SE Europe","South Asia"
"Greece","Iran (Islamic Republic of)",1,0.133333333333333,"SE Europe","West Asia"
"Greece","Pakistan",1,0.133333333333333,"SE Europe","West Asia"
"Greece","Poland",20,2.66666666666667,"SE Europe","NE Europe"
"Greece","Russian Federation",1,0.133333333333333,"SE Europe","NE Europe"
"Greece","United Kingdom",9,1.2,"SE Europe","NW Europe"
"Greece","United States of America",3,0.4,"SE Europe","United States"
"Guatemala","Canada",4,0.533333333333333,"Central America","Canada"
"Guinea","China, Taiwan Province of",5,0.666666666666667,"West Africa","East Asia"
"Hungary","Bulgaria",1,0.133333333333333,"NE Europe","SE Europe"
"Hungary","Canada",96,12.8,"NE Europe","Canada"
"Hungary","Chile",2,0.266666666666667,"NE Europe","Andes"
"Hungary","China",8,1.06666666666667,"NE Europe","East Asia"
"Hungary","Egypt",3,0.4,"NE Europe","SE Mediterranean"
"Hungary","France",3,0.4,"NE Europe","NW Europe"
"Hungary","Germany",7,0.933333333333333,"NE Europe","NW Europe"
"Hungary","India",1,0.133333333333333,"NE Europe","South Asia"
"Hungary","Iran (Islamic Republic of)",1,0.133333333333333,"NE Europe","West Asia"
"Hungary","Norway",1,0.133333333333333,"NE Europe","NW Europe"
"Hungary","United Kingdom",6,0.8,"NE Europe","NW Europe"
"India","Argentina",1,0.133333333333333,"South Asia","Temp. S. America"
"India","Canada",544,72.5333333333333,"South Asia","Canada"
"India","Chile",4,0.533333333333333,"South Asia","Andes"
"India","China",16,2.13333333333333,"South Asia","East Asia"
"India","Egypt",1,0.133333333333333,"South Asia","SE Mediterranean"
"India","France",6,0.8,"South Asia","NW Europe"
"India","India",13,1.73333333333333,"South Asia","South Asia"
"India","Iran (Islamic Republic of)",1,0.133333333333333,"South Asia","West Asia"
"India","Japan",1,0.133333333333333,"South Asia","East Asia"
"India","Netherlands",1,0.133333333333333,"South Asia","NW Europe"
"India","Norway",2,0.266666666666667,"South Asia","NW Europe"
"India","Pakistan",5,0.666666666666667,"South Asia","West Asia"
"India","Poland",5,0.666666666666667,"South Asia","NE Europe"
"India","Republic of Korea",2,0.266666666666667,"South Asia","East Asia"
"India","Sudan (former)",2,0.266666666666667,"South Asia","East Africa"
"India","Turkey",3,0.4,"South Asia","West Asia"
"India","United Kingdom",1,0.133333333333333,"South Asia","NW Europe"
"India","United States of America",1,0.133333333333333,"South Asia","United States"
"Indonesia","Canada",2,0.266666666666667,"Southeast Asia","Canada"
"Indonesia","Chile",1,0.133333333333333,"Southeast Asia","Andes"
"Iran (Islamic Republic of)","Belarus",1,0.133333333333333,"West Asia","NE Europe"
"Iran (Islamic Republic of)","Canada",367,48.9333333333333,"West Asia","Canada"
"Iran (Islamic Republic of)","China",26,3.46666666666667,"West Asia","East Asia"
"Iran (Islamic Republic of)","Egypt",1,0.133333333333333,"West Asia","SE Mediterranean"
"Iran (Islamic Republic of)","France",2,0.266666666666667,"West Asia","NW Europe"
"Iran (Islamic Republic of)","Germany",10,1.33333333333333,"West Asia","NW Europe"
"Iran (Islamic Republic of)","Iran (Islamic Republic of)",28,3.73333333333333,"West Asia","West Asia"
"Iran (Islamic Republic of)","New Zealand",4,0.533333333333333,"West Asia","Australia New Zealand"
"Iran (Islamic Republic of)","Pakistan",1,0.133333333333333,"West Asia","West Asia"
"Iran (Islamic Republic of)","Poland",23,3.06666666666667,"West Asia","NE Europe"
"Iran (Islamic Republic of)","Russian Federation",3,0.4,"West Asia","NE Europe"
"Iran (Islamic Republic of)","Ukraine",5,0.666666666666667,"West Asia","NE Europe"
"Iran (Islamic Republic of)","United Kingdom",26,3.46666666666667,"West Asia","NW Europe"
"Iran (Islamic Republic of)","United States of America",13,1.73333333333333,"West Asia","United States"
"Iraq","Belarus",1,0.133333333333333,"West Asia","NE Europe"
"Iraq","Canada",110,14.6666666666667,"West Asia","Canada"
"Iraq","China",4,0.533333333333333,"West Asia","East Asia"
"Iraq","Denmark",1,0.133333333333333,"West Asia","NW Europe"
"Iraq","Iran (Islamic Republic of)",1,0.133333333333333,"West Asia","West Asia"
"Iraq","Poland",18,2.4,"West Asia","NE Europe"
"Iraq","Russian Federation",5,0.666666666666667,"West Asia","NE Europe"
"Iraq","Ukraine",3,0.4,"West Asia","NE Europe"
"Iraq","United States of America",1,0.133333333333333,"West Asia","United States"
"Ireland","Canada",11,1.46666666666667,"NW Europe","Canada"
"Ireland","China",1,0.133333333333333,"NW Europe","East Asia"
"Ireland","Germany",1,0.133333333333333,"NW Europe","NW Europe"
"Israel","Belarus",1,0.133333333333333,"West Asia","NE Europe"
"Israel","Canada",59,7.86666666666667,"West Asia","Canada"
"Israel","China",8,1.06666666666667,"West Asia","East Asia"
"Israel","China, Taiwan Province of",1,0.133333333333333,"West Asia","East Asia"
"Israel","Denmark",5,0.666666666666667,"West Asia","NW Europe"
"Israel","Germany",4,0.533333333333333,"West Asia","NW Europe"
"Israel","Iran (Islamic Republic of)",1,0.133333333333333,"West Asia","West Asia"
"Israel","Jordan",6,0.8,"West Asia","West Asia"
"Israel","Poland",10,1.33333333333333,"West Asia","NE Europe"
"Israel","Republic of Korea",1,0.133333333333333,"West Asia","East Asia"
